88.20765	855375	0.00019
89.01926	755580	0.00010
89.01962	945410	0.00012
89.25192	677270	0.00013
90.46841	701093	0.00013
90.74010	747838	0.00017
90.82870	800789	0.00014
90.94093	697989	0.00013
90.94373	711055	0.00012
91.41499	712443	0.00013
91.67781	755156	0.00016
91.70972	921522	0.00016
92.28632	693942	0.00031
92.41543	736312	0.00017
92.70538	691945	0.00014
92.74022	720020	0.00012
92.85224	788417	0.00014
92.87558	978934	0.00013
92.87586	2056639	0.00021
92.87620	2422688	0.00014
